Simplified	Traditional	Japanese	Pinyin	Jyutping	CC-CEDICT English definition
你	你	君	nǐ	nei5	you (informal, as opposed to courteous 您)
好	好	良いです	hǎo	hou2	good / well / proper / good to / easy to / very / so / (suffix indicating completion or readiness) / (of two people) close / on intimate terms || to be fond of / to have a tendency to / to be prone to
再见	再見	さようなら	zài jiàn	zoi3 gin3	goodbye / see you again later
再	再	再び	zài	zoi3	again / once more / re- / second / another / then (after sth, and not until then)
见	見	見ます	jiàn	gin3	to see / to meet / to appear (to be sth) / to interview || to appear / also written 現｜现
三	三	三つ	sān	saam1	surname San || three / 3
一	一	一（ いち）	yī	jat1	one / 1 / single / a (article) / as soon as / entire / whole / all / throughout / 'one' radical in Chinese characters (Kangxi radical 1) / also pr. [yao1] for greater clarity when spelling out numbers digit by digit
七	七	七	qī	cat1	seven / 7
八	八	八	bā	baat3	eight / 8
十	十	十	shí	sap6	ten / 10
零	零	ゼロ	líng	ling4	zero / nought / zero sign / fractional / fragmentary / odd (of numbers) / (placed between two numbers to indicate a smaller quantity followed by a larger one) / fraction / (in mathematics) remainder (after division) / extra / to wither and fall / to wither
元	元	元	yuán	jyun4	surname Yuan / the Yuan or Mongol dynasty (1279-1368) || currency unit (esp. Chinese yuan) / first / original / primary / fundamental / constituent / part / era (of a reign) / meta- (prefix) / (math.) argument / variable / (Tw) (geology) eon
五	五	五	wǔ	ng5	five / 5
九	九	九つ	jiǔ	gau2	nine / 9
百	百	百	bǎi	baak3	surname Bai || hundred / numerous / all kinds of
二	二	二つ	èr	ji6	two / 2 / (Beijing dialect) stupid
四	四	よｎ	sì	sei3	four / 4
六	六	六	liù	luk6	six / 6
叫	叫	コール	jiào	giu3	to shout / to call / to order / to ask / to be called / by (indicates agent in the passive mood)
我	我	私	wǒ	ngo5	I / me / my
张	張	張	zhāng	zoeng1	surname Zhang || to open up / to spread / sheet of paper / classifier for flat objects, sheet / classifier for votes
李	李	梅	lǐ	lei5	surname Li || plum
华	華	中国	huá	waa4	abbr. for China || Mt Hua 華山｜华山 in Shaanxi / surname Hua || magnificent / splendid / flowery
明	明	明るいです	míng	ming4	Ming Dynasty (1368-1644) / surname Ming / Ming (c. 2000 BC), fourth of the legendary Flame Emperors, 炎帝 descended from Shennong 神農｜神农 Farmer God || bright / opposite: dark 暗 / (of meaning) clear / to understand / next / public or open / wise / generic term for a sacrifice to the gods
名字	名字	名前	míng zi	ming4 zi6	name (of a person or thing) / CL: 個｜个
什么	什麽	何	shén me	sam6 mo1	what? / something / anything
名	名	名前	míng	ming4	name / noun (part of speech) / place (e.g. among winners) / famous / classifier for people
字	字	単語	zì	zi6	letter / symbol / character / word / CL: 個｜个 / courtesy or style name traditionally given to males aged 20 in dynastic China
什	什	盛り合わせ	shén	sam6	what || ten (used in fractions, writing checks etc) / assorted / miscellaneous
么	麽	何	me	mo1	exclamatory final particle || interrogative final particle || suffix, used to form interrogative 甚麼｜什么, what?, indefinite 這麼｜这么 thus, etc
姓	姓	姓	xìng	sing3	family name / surname / CL: 個｜个 / to be surnamed
